Station_Code,Station_Name,Short,Medium,Long,Total_Distinct_Trains,Pct_Short,Pct_Medium,Pct_Long
BSB,VARANASI JN.,13,29,188,230,5.7,12.6,81.7
SRC,SANTRAGACHI,19,129,82,230,8.3,56.1,35.7
MTMY,THIRUMAYILAI,173,57,0,230,75.2,24.8,0.0
AJJ,ARAKKONAM JN,17,117,93,227,7.5,51.5,41.0
ABH,AMBERNATH,217,4,4,225,96.4,1.8,1.8
RJY,RAJAHMUNDRY,5,45,170,220,2.3,20.5,77.3
SEP,SODPUR,74,143,2,219,33.8,65.3,0.9
GKP,GORAKHPUR JN,10,39,170,219,4.6,17.8,77.6
BLH,BELGHARIA,74,143,2,219,33.8,65.3,0.9
BGJT,.BAGHAJATIN,113,104,0,217,52.1,47.9,0.0
STM,ST. THOMAS M,181,36,0,217,83.4,16.6,0.0
DHK,DHAKURIA,113,104,0,217,52.1,47.9,0.0
JDP,JADABPUR,113,104,0,217,52.1,47.9,0.0
GIA,GARIA,113,104,0,217,52.1,47.9,0.0
PV,PALLAVARAM,180,34,0,214,84.1,15.9,0.0
ED,ERODE JN.,8,23,183,214,3.7,10.7,85.5
MKK,KODAMBAKKAM,179,35,0,214,83.6,16.4,0.0
MTJ,MATHURA JN.,26,40,146,212,12.3,18.9,68.9
MMR,MANMAD JN.,8,23,181,212,3.8,10.8,85.4
SA,SALEM JN.,10,24,176,210,4.8,11.4,83.8
AGP,AGARPARA,72,138,0,210,34.3,65.7,0.0
TGH,TITA GARH,72,136,2,210,34.3,64.8,1.0
KDH,KHARDAHA,72,137,1,210,34.3,65.2,0.5
TRL,TIRUVALLUR,68,129,12,209,32.5,61.7,5.7
RHA,RANAGHAT JN.,65,124,18,207,31.4,59.9,8.7
TCR,TRICHUR,15,23,168,206,7.3,11.2,81.6
ALD,ALLAHABAD JN,9,21,175,205,4.4,10.2,85.4
GDR,GUDUR JN.,14,32,157,203,6.9,15.8,77.3
NRPR,NARENDRAPUR,106,94,0,200,53.0,47.0,0.0
PRES,PATTABIRAM E,97,103,0,200,48.5,51.5,0.0
SNR,SHYAM NAGAR,41,155,4,200,20.5,77.5,2.0
OGL,ONGOLE,13,23,162,198,6.6,11.6,81.8
JTJ,JOLARPETTAI,14,17,166,197,7.1,8.6,84.3
RU,RENIGUNTA JN,11,35,151,197,5.6,17.8,76.6
MBM,MAMBALAM,170,2,24,196,86.7,1.0,12.2
NLR,NELLORE,13,25,157,195,6.7,12.8,80.5
RVJ,RAVLI JN,192,0,0,192,100.0,0.0,0.0
MAS,CHENNAI CENT,9,27,156,192,4.7,14.1,81.2
KOTA,KOTA,9,20,160,189,4.8,10.6,84.7
CTC,CUTTACK JN.,6,40,143,189,3.2,21.2,75.7
IP,ICHHAPUR,41,143,4,188,21.8,76.1,2.1
KCG,KACHEGUDA,53,50,83,186,28.5,26.9,44.6
PTF,PALTA,40,146,0,186,21.5,78.5,0.0
YPR,YESVANTPUR J,9,22,155,186,4.8,11.8,83.3
TI,TIRUNINRAVUR,68,118,0,186,36.6,63.4,0.0
CBE,COIMBATORE,16,19,151,186,8.6,10.2,81.2
THK,THAKURLI,80,105,0,185,43.2,56.8,0.0
VSH,VASHI,184,1,0,185,99.5,0.5,0.0
TMVL,THIRUMULLAIV,122,62,0,184,66.3,33.7,0.0
ANNR,ANNANUR,122,62,0,184,66.3,33.7,0.0
KOTR,KORATTUR,122,62,0,184,66.3,33.7,0.0
PVM,PATTARAVAKKA,122,62,0,184,66.3,33.7,0.0
KNR,KANKINARA,41,140,3,184,22.3,76.1,1.6
VZM,VIZIANAGARAM,8,32,143,183,4.4,17.5,78.1
R,RAIPUR JN.,18,25,140,183,9.8,13.7,76.5
JP,JAIPUR JN.,7,22,151,180,3.9,12.2,83.9
QLN,QUILON,8,33,138,179,4.5,18.4,77.1
BJU,BARAUNI JN.,12,22,145,179,6.7,12.3,81.0
BT,BARASAT JN.,63,115,0,178,35.4,64.6,0.0
JBP,JABALPUR,7,21,150,178,3.9,11.8,84.3
ND,NADIAD JN.,9,31,137,177,5.1,17.5,77.4
AGC,AGRA CANTT,15,35,126,176,8.5,19.9,71.6
SPJ,SAMASTIPUR J,7,21,145,173,4.0,12.1,83.8
CGR,CHANDAN NAGA,86,72,15,173,49.7,41.6,8.7
CNS,CHUCHURA,86,72,13,171,50.3,42.1,7.6
RTM,RATLAM JN,8,17,146,171,4.7,9.9,85.4
