Station_Code,Station_Name,Short,Medium,Long,Total_Distinct_Trains,Pct_Short,Pct_Medium,Pct_Long
KZK,KAZHAKUTTAM,0,3,17,20,0.0,15.0,85.0
PRND,PERINAD,0,10,10,20,0.0,50.0,50.0
PRTL,PIRTALA,0,9,11,20,0.0,45.0,55.0
PUK,PUDUKAD,0,6,14,20,0.0,30.0,70.0
KTSH,KOTMI SONAR,0,10,10,20,0.0,50.0,50.0
JVT,JIBANTI,0,16,4,20,0.0,80.0,20.0
PMPE,PAMPORA,0,20,0,20,0.0,100.0,0.0
JWB,JAWAI BANDH,2,2,16,20,10.0,10.0,80.0
VDD,VENDODU,2,7,11,20,10.0,35.0,55.0
VDE,VEDAYAPALEM,2,10,8,20,10.0,50.0,40.0
LPW,LOHARPURWA (,0,14,6,20,0.0,70.0,30.0
LKE,LAKHERI,0,0,20,20,0.0,0.0,100.0
LONI,LONI,0,12,8,20,0.0,60.0,40.0
BMH,BETAMCHERLA,0,1,19,20,0.0,5.0,95.0
UTD,UTARSANDA,0,15,5,20,0.0,75.0,25.0
JKI,KAURIA JUNGL,0,14,6,20,0.0,70.0,30.0
BBW,BODARWAR,1,1,18,20,5.0,5.0,90.0
LGTR,LINGARAJ TEM,0,4,16,20,0.0,20.0,80.0
SLKN,SANDAL KALAN,0,16,4,20,0.0,80.0,20.0
SLJ,SAKRIGALI,1,8,11,20,5.0,40.0,55.0
CHJ,CHATA,0,5,15,20,0.0,25.0,75.0
AIH,ALAWALPUR ID,0,10,10,20,0.0,50.0,50.0
RBG,RAYBAG,0,4,16,20,0.0,20.0,80.0
KSP,KISHANPUR,1,7,12,20,5.0,35.0,60.0
AILM,AILAM HALT,0,10,10,20,0.0,50.0,50.0
KTMA,KOTMA,0,3,17,20,0.0,15.0,85.0
AKD,AKODIA,1,0,19,20,5.0,0.0,95.0
RCRA,RAMCHAURA HA,0,14,6,20,0.0,70.0,30.0
KAPE,KAKAPORA,0,20,0,20,0.0,100.0,0.0
DPR,DHAMPUR,0,0,20,20,0.0,0.0,100.0
KPGM,KARPOORIGRAM,3,3,14,20,15.0,15.0,70.0
KHH,KICHHA,0,10,10,20,0.0,50.0,50.0
DOKM,DOKRA HALT,3,11,6,20,15.0,55.0,30.0
KGM,KATHGODAM,0,1,19,20,0.0,5.0,95.0
SCMN,SIMHACHALAM,2,3,15,20,10.0,15.0,75.0
KGB,KARGI ROAD,4,2,14,20,20.0,10.0,70.0
SDUA,SADURA,0,20,0,20,0.0,100.0,0.0
KEB,KARAMBELI,1,6,13,20,5.0,30.0,65.0
BXJ,BOKAJAN,0,0,20,20,0.0,0.0,100.0
DLO,DALGAON,1,1,18,20,5.0,5.0,90.0
REWA,REWA,0,1,19,20,0.0,5.0,95.0
KRE,KARTARPUR,0,7,13,20,0.0,35.0,65.0
KPP,KALA PIPAL,1,0,19,20,5.0,0.0,95.0
KRBA,KORBA,0,9,11,20,0.0,45.0,55.0
RJ,RAWATGANJ F,0,14,6,20,0.0,70.0,30.0
RJA,RAJNAGAR,0,8,12,20,0.0,40.0,60.0
BJBA,BIJBIARA,0,20,0,20,0.0,100.0,0.0
DMT,DIGUVAMETTA,0,0,20,20,0.0,0.0,100.0
VKN,VINUKONDA,0,1,19,20,0.0,5.0,95.0
RNPR,RUPNARAYANPU,0,10,10,20,0.0,50.0,50.0
ROA,RUSERA GHAT,0,2,18,20,0.0,10.0,90.0
BLDI,BHILDI JN,0,3,17,20,0.0,15.0,85.0
KKHT,KAKARGHATTI,1,13,6,20,5.0,65.0,30.0
KIK,KARAIKAL,5,3,12,20,25.0,15.0,60.0
RSR,RASRA,0,0,20,20,0.0,0.0,100.0
KIAT,KYATSANDRA,1,5,14,20,5.0,25.0,70.0
TRS,TARSARAI,1,13,6,20,5.0,65.0,30.0
ADT,ADUTHURAI,0,12,8,20,0.0,60.0,40.0
GB,GAURI BAZAR,3,3,14,20,15.0,15.0,70.0
NBL,NIMBAL,0,3,17,20,0.0,15.0,85.0
WRR,WARORA,0,2,18,20,0.0,10.0,90.0
NAT,NATHNAGAR,1,7,12,20,5.0,35.0,60.0
NDJ,NANDGANJ,1,4,14,19,5.3,21.1,73.7
BDMJ,BHODWAL MAJR,0,15,4,19,0.0,78.9,21.1
VJA,VEJANDLA,8,4,7,19,42.1,21.1,36.8
KIP,KHALILPUR,0,14,5,19,0.0,73.7,26.3
RUG,RAJLU GARHI,0,15,4,19,0.0,78.9,21.1
KIN,KAPASAN,0,2,17,19,0.0,10.5,89.5
ADB,ADILABAD,2,4,13,19,10.5,21.1,68.4
DNT,DANTAN,0,5,14,19,0.0,26.3,73.7
CTR,CHATRA,0,9,10,19,0.0,47.4,52.6
CW,CHAINWA,1,5,13,19,5.3,26.3,68.4
FBG,FORBESGANJ J,2,15,2,19,10.5,78.9,10.5
RKI,RAMKANALI JN,4,7,8,19,21.1,36.8,42.1
KPL,KANTAKAPALLE,2,3,14,19,10.5,15.8,73.7
KPLE,KOPAI,0,9,10,19,0.0,47.4,52.6
SDN,SHOLAVANDAN,1,3,15,19,5.3,15.8,78.9
LMT,ALMATTI,0,0,19,19,0.0,0.0,100.0
KUK,KORU KONDA,2,3,14,19,10.5,15.8,73.7
JTL,JHAPATERDHAL,0,9,10,19,0.0,47.4,52.6
KSF,KHALISPUR,0,5,14,19,0.0,26.3,73.7
KDTN,KADETHAN,0,12,7,19,0.0,63.2,36.8
KNVT,KINWAT,2,4,13,19,10.5,21.1,68.4
DMA,DAMODAR JN.,4,7,8,19,21.1,36.8,42.1
DAZ,DELHI-AZADPU,0,15,4,19,0.0,78.9,21.1
BXL,BHEDUASOL,2,8,9,19,10.5,42.1,47.4
COA,KAKINADA POR,1,3,15,19,5.3,15.8,78.9
TIS,TATISILWAI,0,2,17,19,0.0,10.5,89.5
ALM,ALAMANDA,2,3,14,19,10.5,15.8,73.7
UJP,UJIARPUR,0,5,14,19,0.0,26.3,73.7
MSZ,MANSA,0,0,19,19,0.0,0.0,100.0
BRND,BORIDAND,0,3,16,19,0.0,15.8,84.2
NIU,NABIPUR,0,6,13,19,0.0,31.6,68.4
SSA,SIRSA,0,1,18,19,0.0,5.3,94.7
PCQ,PICHKURIRDHA,0,9,10,19,0.0,47.4,52.6
UPL,UPPALUR,1,15,3,19,5.3,78.9,15.8
BSLE,BATASPUR,0,9,10,19,0.0,47.4,52.6
PALR,PALUR,1,16,2,19,5.3,84.2,10.5
SRJM,SIRJAM,1,7,11,19,5.3,36.8,57.9
AHH,AHMED GARH,2,2,15,19,10.5,10.5,78.9
PLS,PIPALSANA,0,12,7,19,0.0,63.2,36.8
LUR,LATUR,0,0,19,19,0.0,0.0,100.0
JBN,JOGBANI,2,15,2,19,10.5,78.9,10.5
PGR,PUGALUR,0,5,14,19,0.0,26.3,73.7
JOB,ASAIPUR JOBN,1,3,15,19,5.3,15.8,78.9
ATE,ATARRA,0,2,17,19,0.0,10.5,89.5
UMD,USMANABAD,0,0,19,19,0.0,0.0,100.0
SWA,SAHJANWA,0,4,15,19,0.0,21.1,78.9
SYN,SAYAN,0,6,13,19,0.0,31.6,68.4
CLDY,CHANDLODIYA,0,0,19,19,0.0,0.0,100.0
GTNR,GOMTINAGAR F,1,4,14,19,5.3,21.1,73.7
BERO,BERO,4,7,8,19,21.1,36.8,42.1
MOO,MUDDANURU,2,3,14,19,10.5,15.8,73.7
ARQ,ARARIYA COUR,2,15,2,19,10.5,78.9,10.5
NRO,NAKODAR JN.,8,9,2,19,42.1,47.4,10.5
BSBR,BANSHLAI BRI,0,9,10,19,0.0,47.4,52.6
DGI,DUNGRI,0,5,14,19,0.0,26.3,73.7
NRX,NOADAR DHAL,0,9,10,19,0.0,47.4,52.6
MZM,MUAZZAMPUR N,0,3,16,19,0.0,15.8,84.2
TMQ,TIRUMANGALAM,0,5,14,19,0.0,26.3,73.7
BDM,BADAMI,0,0,19,19,0.0,0.0,100.0
TLR,TULSIPUR,0,0,19,19,0.0,0.0,100.0
RGB,RAMGANGA,0,10,8,18,0.0,55.6,44.4
RNQ,RENUKUT,3,0,15,18,16.7,0.0,83.3
RMV,RAMAVARAPPAD,0,14,4,18,0.0,77.8,22.2
KMS,KARAMNASA,0,2,16,18,0.0,11.1,88.9
KNHN,KANHAN JN.,4,12,2,18,22.2,66.7,11.1
SCT,SENGOTTAI JN,0,13,5,18,0.0,72.2,27.8
KDMR,KHODIYAR MAN,6,5,7,18,33.3,27.8,38.9
RGD,RAJGIR,0,7,11,18,0.0,38.9,61.1
KD,KUNDARKHI,0,12,6,18,0.0,66.7,33.3
KTM,KUTRALAM,0,12,6,18,0.0,66.7,33.3
QRP,KILA RAIPUR,2,2,14,18,11.1,11.1,77.8
KRPU,KORAPUT JN.,1,1,16,18,5.6,5.6,88.9
MZH,MAUHARI,0,3,15,18,0.0,16.7,83.3
BKLE,BAKUDI,0,8,10,18,0.0,44.4,55.6
KHDB,KHODIYAR,2,10,6,18,11.1,55.6,33.3
RKD,RUKADI,3,3,12,18,16.7,16.7,66.7
ANTU,ANTU,0,0,18,18,0.0,0.0,100.0
SASN,SAHIBZADA AJ,0,1,17,18,0.0,5.6,94.4
BAOL,BAWLI HALT,0,8,10,18,0.0,44.4,55.6
KJI,KHAJAULI,0,8,10,18,0.0,44.4,55.6
KKN,KHIRKIYA,0,0,18,18,0.0,0.0,100.0
KKPR,KOKPARA,0,13,5,18,0.0,72.2,27.8
RUJ,RANUJ,8,7,3,18,44.4,38.9,16.7
DNN,DINANAGAR,0,14,4,18,0.0,77.8,22.2
KL,KHERLI,4,4,10,18,22.2,22.2,55.6
RTN,RETANG,0,4,14,18,0.0,22.2,77.8
RS,RISIA,0,6,12,18,0.0,33.3,66.7
TWG,TWINING GANJ,1,1,16,18,5.6,5.6,88.9
BRML,BARAMULLA,8,10,0,18,44.4,55.6,0.0
MXH,MAKHU,0,12,6,18,0.0,66.7,33.3
NBI,NADBAI,4,4,10,18,22.2,22.2,55.6
GALE,GANKAR,1,8,9,18,5.6,44.4,50.0
KLL,KALOL,2,10,6,18,11.1,55.6,33.3
ADD,ADAS ROAD,2,10,6,18,11.1,55.6,33.3
CBM,CUMBUM,0,0,18,18,0.0,0.0,100.0
MWX,MALLANWALA K,0,12,6,18,0.0,66.7,33.3
NBG,NABINAGAR RO,0,0,18,18,0.0,0.0,100.0
NBA,NABHA,0,1,17,18,0.0,5.6,94.4
WRS,WARISALIGANJ,0,0,18,18,0.0,0.0,100.0
NAZJ,NAZIRGANJ,0,5,13,18,0.0,27.8,72.2
NAC,NAWA CITY,4,0,14,18,22.2,0.0,77.8
ETM,ETTUMANUR,0,7,11,18,0.0,38.9,61.1
TSI,TENKASI,0,13,5,18,0.0,72.2,27.8
CU,CHAGALLU,0,8,10,18,0.0,44.4,55.6
FLK,FALAKATA,0,0,18,18,0.0,0.0,100.0
TRR,TARAORI,0,8,10,18,0.0,44.4,55.6
ASAR,ASRA HALT,0,8,10,18,0.0,44.4,55.6
BRK,BAHRAICH,0,6,12,18,0.0,33.3,66.7
BHLP,BHULANPUR F,0,5,13,18,0.0,27.8,72.2
AYRN,AKSHAYWAT RA,0,4,14,18,0.0,22.2,77.8
PPA,PIPRA,0,2,16,18,0.0,11.1,88.9
POE,PAWAPURI ROA,0,7,11,18,0.0,38.9,61.1
BMI,BAMNIA,0,4,14,18,0.0,22.2,77.8
PNW,PUNDAG,0,4,14,18,0.0,22.2,77.8
LRD,LAR ROAD,0,1,17,18,0.0,5.6,94.4
DBV,DABILPUR HAL,3,6,9,18,16.7,33.3,50.0
JSKA,JATAULA JORI,0,14,4,18,0.0,77.8,22.2
CHD,CHANDIA ROAD,4,0,14,18,22.2,0.0,77.8
SKQ,SIKANDARPUR,0,13,5,18,0.0,72.2,27.8
JSP,JAYASINGPUR,3,3,12,18,16.7,16.7,66.7
JTW,JAITWAR,2,4,12,18,11.1,22.2,66.7
BHRL,BHAROLI,0,14,4,18,0.0,77.8,22.2
VARD,VAIKAM ROAD,0,9,9,18,0.0,50.0,50.0
SI,SONAILI,1,10,7,18,5.6,55.6,38.9
KAP,KALIANPUR,0,8,10,18,0.0,44.4,55.6
KZA,KHADA,1,0,17,18,5.6,0.0,94.4
BHUJ,NEW BHUJ,0,2,16,18,0.0,11.1,88.9
KTT,KHUTBAV,0,12,6,18,0.0,66.7,33.3
PT,PATLI,0,14,4,18,0.0,77.8,22.2
KXE,KALIAN CHAK,0,8,10,18,0.0,44.4,55.6
KWMD,KUMBHAWAS MU,0,14,4,18,0.0,77.8,22.2
PSDA,PASIVEDALA H,0,8,10,18,0.0,44.4,55.6
KASR,KANAS ROAD,3,3,12,18,16.7,16.7,66.7
KAV,KALUMNA,4,12,2,18,22.2,66.7,11.1
LAU,LADNUN,2,0,16,18,11.1,0.0,88.9
SHK,SHEIKHPURA,0,0,18,18,0.0,0.0,100.0
BIG,BELGAHNA,4,2,12,18,22.2,11.1,66.7
KRNR,KRISHNA RAJA,1,2,15,18,5.6,11.1,83.3
SEO,SEOHARA,0,0,18,18,0.0,0.0,100.0
DPD,DOSAPADU,0,15,3,18,0.0,83.3,16.7
SBM,SONBARSA KAC,0,4,14,18,0.0,22.2,77.8
KHNM,KUNDA HARNAM,0,2,16,18,0.0,11.1,88.9
BZM,BHIMSEN,1,1,16,18,5.6,5.6,88.9
KRS,KARISATH,1,3,14,18,5.6,16.7,77.8
DRSN,DHURWASIN  H,0,3,15,18,0.0,16.7,83.3
BNB,BANSTOLA P.H,1,16,1,18,5.6,88.9,5.6
MCN,MUKUNDARAYAP,0,10,8,18,0.0,55.6,44.4
HRV,HARRAD,0,3,15,18,0.0,16.7,83.3
STNL,SATNALI,0,0,18,18,0.0,0.0,100.0
PLP,PHULPUR,2,1,15,18,11.1,5.6,83.3
MAKM,MARARIKULAM,0,12,6,18,0.0,66.7,33.3
PLCJ,PHALODI,0,1,17,18,0.0,5.6,94.4
BUA,BARADWAR,2,5,11,18,11.1,27.8,61.1
SMZ,SARAIMIR,0,0,18,18,0.0,0.0,100.0
SLD,SAKALDIHA,1,5,12,18,5.6,27.8,66.7
UTR,UTRAITIA JN,0,2,16,18,0.0,11.1,88.9
BHB,BADLA GHAT,0,4,14,18,0.0,22.2,77.8
JGN,JAGRAON,0,12,6,18,0.0,66.7,33.3
BGU,BAIRAGNIA,0,2,16,18,0.0,11.1,88.9
SNQ,SANKARPUR,0,10,8,18,0.0,55.6,44.4
PERN,PERNEM,0,9,9,18,0.0,50.0,50.0
VS,VISHWAMITRI,0,6,12,18,0.0,33.3,66.7
CIL,CHILBILA JN,0,0,18,18,0.0,0.0,100.0
CI,CHHAPRA KACH,2,9,7,18,11.1,50.0,38.9
MCV,MACHARYA,0,12,6,18,0.0,66.7,33.3
JM,JALAMB JN.,0,0,18,18,0.0,0.0,100.0
JKM,JANKAMPET JN,2,4,12,18,11.1,22.2,66.7
JHN,JAKHIM,0,6,12,18,0.0,33.3,66.7
JPL,JAPLA,0,0,18,18,0.0,0.0,100.0
SLH,SILYARI,1,6,11,18,5.6,33.3,61.1
JNL,JANDIALA,0,7,11,18,0.0,38.9,61.1
BHI,BAHERI,0,10,8,18,0.0,55.6,44.4
MKPR,MUKTAPUR,1,7,10,18,5.6,38.9,55.6
NYH,NAYANDAHALLI,6,4,8,18,33.3,22.2,44.4
MKX,MORAK,0,6,12,18,0.0,33.3,66.7
NUQ,NAGARUNTARI,3,0,15,18,16.7,0.0,83.3
BATL,BAIHATOLA,0,3,15,18,0.0,16.7,83.3
VXD,VADOD,2,10,6,18,11.1,55.6,33.3
VV,VALIVADE,3,3,12,18,16.7,16.7,66.7
HLN,HOLENARSIPUR,1,2,15,18,5.6,11.1,83.3
HPO,HASANPUR ROA,0,0,18,18,0.0,0.0,100.0
SUJH,SUJANGARH,2,0,16,18,11.1,0.0,88.9
HNS,HANSI,0,2,16,18,0.0,11.1,88.9
HN,HATHBANDH,1,6,11,18,5.6,33.3,61.1
HRNR,HIRA NAGAR,0,2,16,18,0.0,11.1,88.9
DSO,DESHNOKE,2,2,14,18,11.1,11.1,77.8
MEC,MERTA CITY,18,0,0,18,100.0,0.0,0.0
PDW,PANDAUL,0,8,10,18,0.0,44.4,55.6
IHP,INCHHAPURI,0,14,4,18,0.0,77.8,22.2
HTZU,HATHIDAH JN,6,1,11,18,33.3,5.6,61.1
MDUN,MADHRANAGAR,0,14,4,18,0.0,77.8,22.2
MGLE,MANIGRAM,1,8,9,18,5.6,44.4,50.0
DIA,DIDWANA,2,0,16,18,11.1,0.0,88.9
DINR,DIVINE NAGAR,0,6,12,18,0.0,33.3,66.7
STD,SATROD,0,2,16,18,0.0,11.1,88.9
GUH,GULDHAR,0,2,16,18,0.0,11.1,88.9
GRL,GORAUL,2,5,11,18,11.1,27.8,61.1
CND,CHANDUR,0,1,17,18,0.0,5.6,94.4
GT,GHATKESAR,0,8,10,18,0.0,44.4,55.6
TAN,TARANA ROAD,1,0,17,18,5.6,0.0,94.4
SXZM,SOPORE,8,10,0,18,44.4,55.6,0.0
HDL,HODAL,0,11,7,18,0.0,61.1,38.9
MJP,MOHARAJPUR,0,8,10,18,0.0,44.4,55.6
CLR,CASTLE ROCK,0,1,17,18,0.0,5.6,94.4
NLPD,NALLA PADU J,0,4,14,18,0.0,22.2,77.8
NLD,NALANDA,0,7,11,18,0.0,38.9,61.1
MMM,MANDAPAM,0,5,13,18,0.0,27.8,72.2
NRP,NARSIPATNAM,0,2,16,18,0.0,11.1,88.9
MNO,MEHNAR ROAD,1,4,13,18,5.6,22.2,72.2
DGO,DURGAUTI,0,2,16,18,0.0,11.1,88.9
MOGA,MOGA,0,12,6,18,0.0,66.7,33.3
MNTT,MULANTURUTTI,0,7,11,18,0.0,38.9,61.1
BEHS,BIHAR SHARIF,0,7,11,18,0.0,38.9,61.1
WAIR,WAIR,0,13,5,18,0.0,72.2,27.8
GUG,GARJAIPUR,0,2,16,18,0.0,11.1,88.9
GOGH,GOSAI GAON H,0,0,18,18,0.0,0.0,100.0
MOU,MANOHARPUR,5,6,7,18,27.8,33.3,38.9
MRND,MORINDA,0,3,15,18,0.0,16.7,83.3
MPLR,MAHIPAL ROAD,1,8,9,18,5.6,44.4,50.0
MRT,MATHURA CANT,0,9,9,18,0.0,50.0,50.0
NHLG,NEW HALFLONG,1,3,14,18,5.6,16.7,77.8
WJ,WALAJABAD,1,16,1,18,5.6,88.9,5.6
MVI,MORVI,10,4,4,18,55.6,22.2,22.2
GNP,GHANPUR,2,2,14,18,11.1,11.1,77.8
GNRL,GANGRAUL HAL,0,13,5,18,0.0,72.2,27.8
NNP,NANPARA JN.,0,6,12,18,0.0,33.3,66.7
DUD,DUDHANI,1,4,13,18,5.6,22.2,72.2
MT,MATERA,0,6,12,18,0.0,33.3,66.7
GII,GIDHNI,0,13,5,18,0.0,72.2,27.8
CUX,CHAURA BH,0,2,16,18,0.0,11.1,88.9
TNM,TIRUVANNAMAL,0,0,18,18,0.0,0.0,100.0
TNJR,TAJ NAGAR,0,14,4,18,0.0,77.8,22.2
BDHP,BHUDPUR,0,8,10,18,0.0,44.4,55.6
MZMA,MAZHOM,8,10,0,18,44.4,55.6,0.0
YLG,YALVIGI,0,0,18,18,0.0,0.0,100.0
WZJ,WAZERGANJ,0,0,18,18,0.0,0.0,100.0
MKDD,MUKUNDWADI H,0,3,14,17,0.0,17.6,82.4
CNA,CHANDERIYA J,0,0,17,17,0.0,0.0,100.0
OBR,OBRADAM,1,3,13,17,5.9,17.6,76.5
MHO,MAHPUR,0,1,16,17,0.0,5.9,94.1
TBB,TILBHITA,0,8,9,17,0.0,47.1,52.9
TBN,TIMARNI,0,0,17,17,0.0,0.0,100.0
BTKB,BATHNA KRITT,2,15,0,17,11.8,88.2,0.0
VRR,VIRPUR,0,0,17,17,0.0,0.0,100.0
MLHA,MALIYA HATIN,0,0,17,17,0.0,0.0,100.0
HJL,HEJJALA,6,4,7,17,35.3,23.5,41.2
CLKA,CHILKA,0,3,14,17,0.0,17.6,82.4
HEM,HIMAYATNAGAR,2,4,11,17,11.8,23.5,64.7
MAUR,MAUR,0,0,17,17,0.0,0.0,100.0
BAZ,BARAN,1,2,14,17,5.9,11.8,82.4
SSNR,SATSANG NAGA,16,1,0,17,94.1,5.9,0.0
BSDP,BHUSANDPUR,0,5,12,17,0.0,29.4,70.6
GLBN,GUJRAN-BALWA,0,8,9,17,0.0,47.1,52.9
BDU,BADNAPUR,0,3,14,17,0.0,17.6,82.4
LC,LUCKNOW CITY,1,4,12,17,5.9,23.5,70.6
TSR,TSUNDURU,1,6,10,17,5.9,35.3,58.8
MUZ,MOHIUDDINPUR,0,2,15,17,0.0,11.8,88.2
IDP,INDUPALLI,1,12,4,17,5.9,70.6,23.5
IPL,IDAPPALLI,0,6,11,17,0.0,35.3,64.7
PRTP,PARTAPUR,0,2,15,17,0.0,11.8,88.2
KZI,KHANDRAWALI,0,8,9,17,0.0,47.1,52.9
NNW,NARAYANPUR T,2,2,13,17,11.8,11.8,76.5
VYA,VYARA,0,0,17,17,0.0,0.0,100.0
JAO,JOARA,0,1,16,17,0.0,5.9,94.1
KUU,KUHURI,0,5,12,17,0.0,29.4,70.6
CRLM,CARMELARAM,0,6,11,17,0.0,35.3,64.7
SNTD,SANTALDIH,5,4,8,17,29.4,23.5,47.1
PVD,PEDDAVADLAPU,7,4,6,17,41.2,23.5,35.3
SNDD,SINDHU DURG,0,3,14,17,0.0,17.6,82.4
JKNI,JHARKHANDI F,0,0,17,17,0.0,0.0,100.0
KSN,KRISHNA,3,3,11,17,17.6,17.6,64.7
BHET,BHESTAN,0,5,12,17,0.0,29.4,70.6
SLF,SILLI,0,2,15,17,0.0,11.8,88.2
KPRD,KALYANPUR RO,2,6,9,17,11.8,35.3,52.9
SKS,SALEKASA,1,7,9,17,5.9,41.2,52.9
JSM,JAISALMER,0,1,16,17,0.0,5.9,94.1
VLI,VALLIUKUNNU,0,4,13,17,0.0,23.5,76.5
GAM,GANJAM,0,5,12,17,0.0,29.4,70.6
JTR,JATKANHAR,1,10,6,17,5.9,58.8,35.3
SJL,SANGAM JAGAR,8,4,5,17,47.1,23.5,29.4
VDH,VEDCHHA,0,5,12,17,0.0,29.4,70.6
KAD,KANDALA,0,3,14,17,0.0,17.6,82.4
MUA,MUSRA,1,10,6,17,5.9,58.8,35.3
NGF,NAGAR NABI,0,8,9,17,0.0,47.1,52.9
ACL,ANCHELI,0,5,12,17,0.0,29.4,70.6
FAN,FATEH NAGAR,0,2,15,17,0.0,11.8,88.2
MYX,METYAL SAHAR,1,7,9,17,5.9,41.2,52.9
KLNK,KALANAUR KAL,2,8,6,16,12.5,50.0,37.5
AHN,AHIRAN H,1,8,7,16,6.2,50.0,43.8
KKZ,KOTTARAKKARA,1,7,8,16,6.2,43.8,50.0
KKM,KAMALAPURAM,1,7,8,16,6.2,43.8,50.0
SDI,SAGARDIGHI,1,9,6,16,6.2,56.2,37.5
SDRA,SUDHRANA,0,4,12,16,0.0,25.0,75.0
RV,RAVER,0,0,16,16,0.0,0.0,100.0
NDM,NIDAMANURU,0,13,3,16,0.0,81.2,18.8
NDV,NIDVANDA,0,4,12,16,0.0,25.0,75.0
RWTB,ROWTA BAGAN,0,4,12,16,0.0,25.0,75.0
CAM,CHHOTA AMBAN,3,7,6,16,18.8,43.8,37.5
WPR,WANPARTI ROA,0,0,16,16,0.0,0.0,100.0
EKM,EKAMBARAKUPP,0,11,5,16,0.0,68.8,31.2
EKN,EZHUKONE,1,7,8,16,6.2,43.8,50.0
BJF,BIJNI,0,0,16,16,0.0,0.0,100.0
MYK,MAYAKONDA,0,2,14,16,0.0,12.5,87.5
BNV,BINNAGURI,0,3,13,16,0.0,18.8,81.2
ARV,ARNI ROAD,0,0,16,16,0.0,0.0,100.0
RJL,RAJMAHAL,16,0,0,16,100.0,0.0,0.0
RJR,RAJALDESAR,0,3,13,16,0.0,18.8,81.2
TRP,TARAPUR,0,16,0,16,0.0,100.0,0.0
CTKT,CHHOTI KHATU,0,0,16,16,0.0,0.0,100.0
BRPL,BARPALI,1,1,14,16,6.2,6.2,87.5
JTS,JATUSANA,0,4,12,16,0.0,25.0,75.0
KNM,KANIMAHULI P,0,11,5,16,0.0,68.8,31.2
DPS,DANGOAPOSI,0,5,11,16,0.0,31.2,68.8
DPX,DADPUR BH,0,2,14,16,0.0,12.5,87.5
KNNK,KANINA KHAS,0,0,16,16,0.0,0.0,100.0
RMT,RAMGARH CANT,2,0,14,16,12.5,0.0,87.5
SHLK,SHOLAKA,0,11,5,16,0.0,68.8,31.2
GTD,GOURINATHDHA,0,2,14,16,0.0,12.5,87.5
TBT,TALBAHAT,1,1,14,16,6.2,6.2,87.5
TAO,TAMNA,0,4,12,16,0.0,25.0,75.0
NYO,NAYAGAON,0,5,11,16,0.0,31.2,68.8
BTK,BANKATA,3,7,6,16,18.8,43.8,37.5
PAW,PANDABESWAR,0,10,6,16,0.0,62.5,37.5
PBL,PATHSHALA,0,0,16,16,0.0,0.0,100.0
PCK,PACHRUKHI,4,3,9,16,25.0,18.8,56.2
MGAE,MORGRAM,1,9,6,16,6.2,56.2,37.5
NW,NALWAR,2,2,12,16,12.5,12.5,75.0
SLNA,SALAUNA,0,0,16,16,0.0,0.0,100.0
KPTO,KARANPURATO,0,8,8,16,0.0,50.0,50.0
NIIJ,NILJE,2,10,4,16,12.5,62.5,25.0
ALS,AMLORI SARSA,8,1,7,16,50.0,6.2,43.8
BPO,BARIPADA PH,6,6,4,16,37.5,37.5,25.0
CRU,CHUDAWA,0,1,15,16,0.0,6.2,93.8
JRL,JHARLI,0,4,12,16,0.0,25.0,75.0
AVS,AUVANEESWARA,1,7,8,16,6.2,43.8,50.0
RHN,ROSHANPUR,0,12,4,16,0.0,75.0,25.0
BKSL,BIKRAMSHILA,1,5,10,16,6.2,31.2,62.5
ANH,ANKORAH (AKO,0,0,16,16,0.0,0.0,100.0
RCF,RAIL COACH F,0,12,4,16,0.0,75.0,25.0
BYD,BYADGI,0,0,16,16,0.0,0.0,100.0
KRPP,KURUPPANTARA,0,7,9,16,0.0,43.8,56.2
SME,SHIMOGA,1,3,12,16,6.2,18.8,75.0
RDE,RUNDHI,0,11,5,16,0.0,68.8,31.2
VLYN,VALLABH VIDH,0,16,0,16,0.0,100.0,0.0
NJT,NAGERCOIL TO,1,7,8,16,6.2,43.8,50.0
NLKR,NILOKHERI,0,8,8,16,0.0,50.0,50.0
WENA,WENA,0,5,11,16,0.0,31.2,68.8
MRPR,MAU RANIPUR,0,2,14,16,0.0,12.5,87.5
KRLI,KURALI,0,3,13,16,0.0,18.8,81.2
SLS,SALANPUR,0,10,6,16,0.0,62.5,37.5
RDRA,RAMDEVRA,0,1,15,16,0.0,6.2,93.8
RGH,RAMGARHWA F,2,3,11,16,12.5,18.8,68.8
CBY,KHAMBHAT,0,16,0,16,0.0,100.0,0.0
KLWD,KALITALAVADI,0,16,0,16,0.0,100.0,0.0
NLS,NELLORE SOUT,0,10,6,16,0.0,62.5,37.5
NMDA,NEW MORINDA,0,3,13,16,0.0,18.8,81.2
DZB,DAHINA-ZAINA,0,0,16,16,0.0,0.0,100.0
BABR,BALANAGAR,0,4,12,16,0.0,25.0,75.0
MRDW,MURDESHWAR,0,0,16,16,0.0,0.0,100.0
MQR,MALKHAID ROA,1,0,15,16,6.2,0.0,93.8
KTD,KANTADIH,0,4,12,16,0.0,25.0,75.0
RAY,RAY,1,0,15,16,6.2,0.0,93.8
DRLA,DAURALA,0,0,16,16,0.0,0.0,100.0
KSH,KALISINDH,1,0,15,16,6.2,0.0,93.8
KSI,KOSLI,0,4,12,16,0.0,25.0,75.0
KRYR,KARAMSAD,0,16,0,16,0.0,100.0,0.0
KSC,KASHI CHAK,0,0,16,16,0.0,0.0,100.0
