Train_No,Start_Station_Code,Start_Station_Name,Start_Departure_Time,End_Station_Code,End_Station_Name,End_Arrival_Time,Midnight_Rollover,Duration_Minutes,Duration_Hours,Duration_Computable,Duration_Status,Total_Distance_km,Route_Type,Classification_Basis
7146,TPTY,TIRUPATI,17:00:00,KCG,KACHEGUDA,06:30:00,True,810.0,13.5,True,Valid (Midnight Rollover +1 Day),763.0,Long,Duration
7149,SC,SECUNDERABAD,07:30:00,GHY,GUWAHATI,08:45:00,False,75.0,1.25,True,Valid (Same Day),2563.0,Short,Duration
71901,IDH,IDGAH,05:50:00,BTE,BHARATPUR JN,06:55:00,False,65.0,1.08,True,Valid (Same Day),51.0,Short,Duration
71902,BTE,BHARATPUR JN,07:30:00,IDH,IDGAH,08:45:00,False,75.0,1.25,True,Valid (Same Day),51.0,Short,Duration
71903,IDH,IDGAH,09:25:00,BKI,BANDIKUI JN.,13:05:00,False,220.0,3.67,True,Valid (Same Day),148.0,Medium,Duration
71904,BKI,BANDIKUI JN.,13:50:00,IDH,IDGAH,17:05:00,False,195.0,3.25,True,Valid (Same Day),148.0,Medium,Duration
71905,IDH,IDGAH,20:05:00,BTE,BHARATPUR JN,21:45:00,False,100.0,1.67,True,Valid (Same Day),51.0,Medium,Duration
71906,BTE,BHARATPUR JN,22:15:00,IDH,IDGAH,23:35:00,False,80.0,1.33,True,Valid (Same Day),51.0,Short,Duration
71907,IDH,IDGAH,17:10:00,BKI,BANDIKUI JN.,21:00:00,False,230.0,3.83,True,Valid (Same Day),148.0,Medium,Duration
71908,BKI,BANDIKUI JN.,06:05:00,IDH,IDGAH,09:20:00,False,195.0,3.25,True,Valid (Same Day),148.0,Medium,Duration
71909,AGC,AGRA CANTT,17:10:00,ETW,ETAWAH,20:35:00,False,205.0,3.42,True,Valid (Same Day),136.0,Medium,Duration
71910,ETW,ETAWAH,06:10:00,AGC,AGRA CANTT,09:55:00,False,225.0,3.75,True,Valid (Same Day),136.0,Medium,Duration
7211,CCT,KAKINADA TOW,23:50:00,QLN,QUILON,06:30:00,True,400.0,6.67,True,Valid (Midnight Rollover +1 Day),1433.0,Long,Duration
7212,QLN,QUILON,09:30:00,CCT,KAKINADA TOW,13:30:00,False,240.0,4.0,True,Valid (Same Day),1436.0,Medium,Duration
7213,BZA,VIJAYWADA JN,04:00:00,QLN,QUILON,06:30:00,False,150.0,2.5,True,Valid (Same Day),1221.0,Medium,Duration
7214,QLN,QUILON,09:30:00,BZA,VIJAYWADA JN,09:35:00,False,5.0,0.08,True,Valid (Same Day),1226.0,Short,Duration
7217,NS,NARASAPUR,23:50:00,QLN,QUILON,06:30:00,True,400.0,6.67,True,Valid (Midnight Rollover +1 Day),1360.0,Long,Duration
72171,MTJ,MATHURA JN.,06:35:00,BDB,VRINDAVAN,07:10:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
72172,BDB,VRINDAVAN,07:25:00,MTJ,MATHURA JN.,08:00:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
72173,MTJ,MATHURA JN.,08:55:00,BDB,VRINDAVAN,09:30:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
72174,BDB,VRINDAVAN,09:40:00,MTJ,MATHURA JN.,10:15:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
72175,MTJ,MATHURA JN.,15:20:00,BDB,VRINDAVAN,15:55:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
72176,BDB,VRINDAVAN,16:10:00,MTJ,MATHURA JN.,16:45:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
72177,MTJ,MATHURA JN.,16:55:00,BDB,VRINDAVAN,17:30:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
72178,BDB,VRINDAVAN,17:40:00,MTJ,MATHURA JN.,18:15:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
72179,MTJ,MATHURA JN.,19:25:00,BDB,VRINDAVAN,20:00:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
7218,QLN,QUILON,09:30:00,NS,NARASAPUR,13:45:00,False,255.0,4.25,True,Valid (Same Day),1363.0,Long,Duration
72180,BDB,VRINDAVAN,20:30:00,MTJ,MATHURA JN.,21:05:00,False,35.0,0.58,True,Valid (Same Day),18.0,Short,Duration
