Category,Train_No,Stop_Count,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name
MINIMUM_STOPS,98030,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98031,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98032,2,PNVL,PANVEL,VDLR,MUMBAI VADAL
MINIMUM_STOPS,98033,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98034,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98035,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98036,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98037,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98038,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98039,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98040,2,PNVL,PANVEL,VDLR,MUMBAI VADAL
MINIMUM_STOPS,98041,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98042,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98043,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98044,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98045,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98046,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98047,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98048,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98049,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98050,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98051,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98052,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98053,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98054,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98055,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98056,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98057,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98058,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98059,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98060,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98061,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98062,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98063,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98064,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98065,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98066,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98067,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98068,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98069,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98070,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98071,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98072,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98073,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98074,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98075,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98076,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98077,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98078,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98079,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98080,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98081,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98082,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98083,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98084,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98085,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98087,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98088,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98089,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98090,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98091,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98092,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98093,2,CSMT,CST-MUMBAI,PNVL,PANVEL
